Player,GP,PPG,APG,RPG,SPG,BPG,MPG,Salary,PredictedSalary,Residual
Anthony Edwards,79,25.9,5.1,5.4,1.3,0.5,35.1,13534817,39218563.806340195,-25683746.806340195
Damian Lillard,73,24.3,7.0,4.4,1.0,0.2,35.3,45640084,40473104.68461572,5166979.315384284
Devin Booker,68,27.1,6.9,4.5,0.9,0.4,36.0,36016200,41023155.50094028,-5006955.500940278
Donovan Mitchell,55,26.6,6.1,5.1,1.8,0.5,35.3,32600060,35811266.826268904,-3211206.826268904
Giannis Antetokounmpo,73,30.4,6.5,11.5,1.2,1.1,35.2,45640084,43695647.01061565,1944436.9893843532
Jalen Brunson,77,28.7,6.7,3.6,0.9,0.2,35.4,26346700,38208754.72680717,-11862054.72680717
Jayson Tatum,74,26.9,4.9,8.1,1.0,0.6,35.7,32600060,41497513.37823179,-8897453.378231794
Joel Embiid,39,34.7,5.6,11.0,1.2,1.7,33.6,47607350,46343028.155883,1264321.8441170007
Kawhi Leonard,68,23.7,3.6,6.1,1.6,0.9,34.3,45640084,41556062.68408844,4084021.3159115613
Kevin Durant,75,27.1,5.0,6.6,0.9,1.2,37.2,47649433,47070390.52220137,579042.4777986333
LeBron James,71,25.7,8.3,7.3,1.3,0.5,35.3,47607303,41149797.62541407,6457505.3745859265
Paul George,74,22.6,3.5,5.2,1.5,0.5,33.8,45640084,39317604.228996016,6322479.771003984
Shai Gilgeous-Alexander,75,30.1,6.2,5.5,2.0,0.9,34.0,33886990,36291990.72831294,-2405000.7283129394
Stephen Curry,74,26.4,5.1,4.5,0.7,0.4,32.7,51915615,42676073.92034871,9239541.079651289
Trae Young,54,25.7,10.8,2.8,1.3,0.2,36.0,40064220,39316948.00672905,747271.9932709485
Tyrese Haliburton,69,20.1,10.9,3.9,1.2,0.7,32.2,5800000,49046485.57372947,-43246485.57372947
Zion Williamson,70,22.9,5.0,5.8,1.1,0.7,31.5,34000000,45118004.41196981,-11118004.41196981
